,id,city,street,housenumber,levels
496,32146789,Москва,Новохохловская улица,7,5
497,32146790,Москва,Нижегородская улица,78 к1,5
498,32146791,Москва,Нижегородская улица,82,5
499,32146793,Москва,Нижегородская улица,88 к1,5
500,32146794,Москва,Нижегородская улица,90 к1,5
501,32147079,Москва,улица Верхняя Хохловка,31,5
502,32147084,Москва,улица Верхняя Хохловка,17,5
503,32147086,Москва,улица Верхняя Хохловка,15,5
504,32147087,Москва,улица Верхняя Хохловка,41,5
505,32147090,Москва,улица Верхняя Хохловка,43,5
506,32147092,Москва,Нижегородская улица,75А,5
507,32147095,Москва,Нижегородская улица,83Б,5
508,32244153,,Авиамоторная улица,8 с6,7
509,32244154,Москва,Красноказарменная улица,16,5
510,32244161,Москва,Красноказарменная улица,19,9
511,32244163,Москва,Красноказарменная улица,23,8
512,32244167,Москва,Красноказарменная улица,17Х,5
513,32244173,Москва,Красноказарменная улица,17 с1Б,4
514,32244178,,Авиамоторная улица,8А с5,5
515,32276102,,Авиамоторная улица,8 с39,3
516,32276103,,Авиамоторная улица,8А с7,5
517,32276104,Москва,Энергетическая улица,22,8
518,32276105,Москва,Энергетическая улица,20,7
519,32276106,,улица Лапина,3,6
520,32276109,Москва,Авиамоторная улица,8 с1,7
521,32276118,Москва,Авиамоторная улица,8 с2,5
522,32276122,Москва,Энергетическая улица,16 к2,8
523,32276125,Москва,Энергетическая улица,16 к1,7
524,32276128,Москва,Красноказарменная улица,17В,3
525,32276130,Москва,Красноказарменная улица,17 с4,5
526,32276132,,Красноказарменная улица,17 с7,2
527,32276133,,,,2
528,32341958,,,,1
529,32545680,,Садовая-Спасская улица,21/1,24
530,33387444,,Ухтомская улица,16 к1,5
531,33387445,,Ухтомская улица,14,5
532,33387446,Москва,Авиамоторная улица,35,4
533,33387447,Москва,Авиамоторная улица,37,4
534,33387448,Москва,шоссе Энтузиастов,22/18,5
535,33456221,Москва,Авиамоторная улица,29,4
536,33456222,Москва,Авиамоторная улица,31,4
537,33456223,Москва,Авиамоторная улица,33,2
538,33456225,Москва,Авиамоторная улица,12 к2,5
539,33499159,,Новорогожская улица,20,25
540,33499160,,Новорогожская улица,22,22
541,33499161,Москва,Новорогожская улица,28,25
542,33499162,Москва,Новорогожская улица,30,22
543,33735357,,Авиамоторная улица,6,5
544,33735362,,Авиамоторная улица,23,6
545,33735363,,Авиамоторная улица,27,5
546,33735364,,Авиамоторная улица,25,4
547,33735365,,Авиамоторная улица,6 с4,1
548,33735366,,Авиамоторная улица,4 к4,2
549,33735367,Москва,Энергетическая улица,12 к1,7
550,33735368,Москва,Энергетическая улица,10 к1,6
551,33735369,Москва,Энергетическая улица,10 к2,6
552,33735370,Москва,Энергетическая улица,12 к2,7
553,33735371,,Авиамоторная улица,4 с3,1
554,33750017,Москва,шоссе Энтузиастов,14,5
555,33816321,,2-я улица Синичкина,15,5
556,33816322,,2-я улица Синичкина,17,5
557,33816323,,2-я улица Синичкина,19,8
558,33816324,,Авиамоторная улица,21,5
559,33816325,Москва,Авиамоторная улица,19,2
560,33816327,,Авиамоторная улица,13,2
561,33816328,,2-я улица Синичкина,26,12
562,33816329,,Юрьевский переулок,22 к2,5
563,33816330,,Юрьевский переулок,22 к3,5
564,33816331,,Сторожевая улица,40,5
565,33816332,,Юрьевский переулок,22 к1,9
566,33816333,,2-я улица Синичкина,9,5
567,33816334,,2-я улица Синичкина,11 к1,12
568,33816336,,Сторожевая улица,38,5
569,33816337,,Сторожевая улица,30 к3,5
570,33816338,,Сторожевая улица,30 к2,5
571,33816339,,Сторожевая улица,30 к1,5
572,33816340,,Сторожевая улица,22/8,5
573,33816341,,Сторожевая улица,24А,5
574,33816342,Москва,Сторожевая улица,25,16
575,33816343,,Юрьевский переулок,16А,2
576,33816344,,Сторожевая улица,31,5
577,33816345,Москва,Юрьевский переулок,16 к1,16
578,33816346,Москва,Сторожевая улица,20,9
579,34319556,,Хомутовский тупик,4 к2,5
580,34319557,,Садовая-Черногрязская улица,11/2,7
581,34319558,,Садовая-Черногрязская улица,16-18 с1,8
582,34319559,,Фурманный переулок,24,6
583,34319560,,Старая Басманная улица,11/2,5
584,34319561,,Басманный тупик,6А с4,5
585,34319562,,Басманный тупик,6А с1,6
586,34319563,,Старая Басманная улица,11А,4
587,34319572,Москва,Каланчёвская улица,2/1 с1,10
588,34319573,,Каланчёвский тупик,4 с4,3
589,34319574,,Красноворотский проезд,3 с1,3
590,34319575,Москва,Красноворотский проезд,5 с1,5
591,34319576,,Каланчёвская улица,11 с2,3
592,34319577,,Каланчёвская улица,11 с1,2
593,34319593,,Старая Басманная улица,21/4 с3,5
594,34319595,,Старая Басманная улица,22 к6 с3,5
595,34319596,,Старая Басманная улица,22 к6 с2,5
596,34319598,,Старая Басманная улица,36 с2,4
597,34319599,,Доброслободская улица,4,12
598,34319601,,Гороховский переулок,21,16
599,34319603,,Старая Басманная улица,20 к2,5
600,34319604,,Гороховский переулок,11-13,14
601,34319605,,Денисовский переулок,3/5,5
